Lat,Lon,CDD,HDD
40.761116,-73.872538,1179.225708,4562.379395
40.831230,-73.947548,1199.753662,4563.494629
40.598258,-74.091513,1210.744385,4535.177734
40.887476,-73.904444,1019.952881,4891.804688
40.722565,-73.999788,1299.786743,4421.714355
40.654716,-73.913636,1213.813477,4511.538574
40.744466,-73.876263,1271.055298,4461.206543
40.734611,-73.985600,1299.786743,4421.714355
40.850669,-73.917782,1112.312378,4719.492188
40.739122,-73.993816,1299.786743,4421.714355
40.749365,-73.980346,1299.786743,4421.714355
40.688759,-73.984530,1294.508667,4433.241699
40.653496,-73.955377,1261.567505,4476.884766
40.766278,-73.982529,1253.947266,4468.735352
40.592473,-73.982985,1271.081543,4461.968262
40.791848,-73.972489,1173.158813,4598.009766
40.766529,-73.994827,1253.947266,4468.735352
40.749139,-73.980886,1299.786743,4421.714355
40.850366,-73.908654,1088.174927,4749.377930
40.722160,-73.992331,1299.786743,4421.714355
40.730921,-73.935507,1310.610718,4415.648926
40.867294,-73.892567,1088.174927,4749.377930
40.806206,-73.936779,1199.753662,4563.494629
40.605769,-73.978529,1271.081543,4461.968262
40.740080,-73.988747,1299.786743,4421.714355
40.771933,-73.965052,1253.947266,4468.735352
40.756403,-73.961850,1253.947266,4468.735352
40.738192,-73.923961,1310.610718,4415.648926
40.613039,-74.098486,1210.744385,4535.177734
40.610668,-73.952764,1247.323730,4469.472168
40.731099,-73.986706,1299.786743,4421.714355
40.744014,-73.901971,1271.055298,4461.206543
40.849039,-73.912870,1088.174927,4749.377930
40.744516,-74.005517,1241.051514,4502.415527
